unique_im,stim_pos,stim_pos_i,angle_deg,angle_i,eccen_deg,angle_rad,delta_deg,delta_i,dot_xpos_pix,dot_ypos_pix,is_specialcore,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
49,left,1,348.75,1,4,6.08683576633022,0,0,891,194,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,2
50,left,1,326.25,2,4,5.6941366846315,0,0,764,247,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,left,1,303.75,3,4,5.30143760293278,0,0,667,344,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,4
52,left,1,281.25,4,4,4.90873852123405,0,0,614,471,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,left,1,258.75,5,4,4.51603943953533,0,0,614,609,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,1
54,left,1,236.25,6,4,4.1233403578366,0,0,667,736,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,left,1,213.75,7,4,3.73064127613788,0,0,764,833,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42,2
56,left,1,191.25,8,4,3.33794219443916,0,0,891,886,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,right,2,168.75,9,4,2.94524311274043,0,0,1029,886,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,2
58,right,2,146.25,10,4,2.55254403104171,0,0,1156,833,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,right,2,123.75,11,4,2.15984494934298,0,0,1253,736,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,4
60,right,2,101.25,12,4,1.76714586764426,0,0,1306,609,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,right,2,78.75,13,4,1.37444678594553,0,0,1306,471,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,2
62,right,2,56.25,14,4,0.98174770424681,0,0,1253,344,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,right,2,33.75,15,4,0.589048622548086,0,0,1156,247,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,1
64,right,2,11.25,16,4,0.196349540849362,0,0,1029,194,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,left,1,336.75,1,4,5.8773962560909,-12,1,821,216,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,left,1,314.25,2,4,5.48469717439218,-12,1,707,294,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
183,left,1,291.75,3,4,5.09199809269346,-12,1,632,409,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187,left,1,269.25,4,4,4.69929901099473,-12,1,607,545,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
191,left,1,246.75,5,4,4.30659992929601,-12,1,636,679,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
195,left,1,224.25,6,4,3.91390084759728,-12,1,714,793,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
199,left,1,201.75,7,4,3.52120176589856,-12,1,829,868,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
203,left,1,179.25,8,4,3.12850268419984,-12,1,965,893,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
207,right,2,156.75,9,4,2.73580360250111,-12,1,1099,864,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
211,right,2,134.25,10,4,2.34310452080239,-12,1,1213,786,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
215,right,2,111.75,11,4,1.95040543910366,-12,1,1288,671,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
219,right,2,89.25,12,4,1.55770635740494,-12,1,1313,535,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
223,right,2,66.75,13,4,1.16500727570621,-12,1,1284,401,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
227,right,2,44.25,14,4,0.772308194007491,-12,1,1206,287,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
231,right,2,21.75,15,4,0.379609112308767,-12,1,1091,212,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
235,right,2,359.25,16,4,6.27009533778963,-12,1,955,187,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,left,1,342.75,1,4,5.98211601121056,-6,2,855,203,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,left,1,320.25,2,4,5.58941692951184,-6,2,734,269,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
184,left,1,297.75,3,4,5.19671784781312,-6,2,648,376,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188,left,1,275.25,4,4,4.80401876611439,-6,2,609,508,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192,left,1,252.75,5,4,4.41131968441567,-6,2,623,645,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,left,1,230.25,6,4,4.01862060271694,-6,2,689,766,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,left,1,207.75,7,4,3.62592152101822,-6,2,796,852,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
204,left,1,185.25,8,4,3.2332224393195,-6,2,928,891,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
208,right,2,162.75,9,4,2.84052335762077,-6,2,1065,877,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
212,right,2,140.25,10,4,2.44782427592205,-6,2,1186,811,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
216,right,2,117.75,11,4,2.05512519422332,-6,2,1272,704,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
220,right,2,95.25,12,4,1.6624261125246,-6,2,1311,572,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
224,right,2,72.75,13,4,1.26972703082587,-6,2,1297,435,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
228,right,2,50.25,14,4,0.877027949127151,-6,2,1231,314,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
232,right,2,27.75,15,4,0.484328867428426,-6,2,1124,228,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
236,right,2,5.25,16,4,0.0916297857297023,-6,2,992,189,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,left,1,354.75,1,4,6.19155552144988,6,3,928,189,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
181,left,1,332.25,2,4,5.79885643975116,6,3,796,228,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
185,left,1,309.75,3,4,5.40615735805244,6,3,689,314,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
189,left,1,287.25,4,4,5.01345827635371,6,3,623,435,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
